;src;dst;dyad_id;x1_src;x2_src;a_src;x1_dst;x2_dst;a_dst;dx1;dx2;de;dy
17;2;7;02-Jul;-2.247369114;-0.718129042;-0.470703762;-0.540113803;-0.819209952;-0.075792471;1.707255311;0.10108091;-1.089391481;0.020827142
18;3;7;03-Jul;0.775125013;-1.91514517;-0.522438467;-0.540113803;-0.819209952;-0.075792471;1.315238816;1.095935218;0.539432537;0.708472806
19;4;7;04-Jul;0.214023706;-1.057478631;2.379981408;-0.540113803;-0.819209952;-0.075792471;0.754137509;0.238268679;-1.618812056;1.32038005
20;5;7;05-Jul;-1.739373216;1.087288906;-0.958122243;-0.540113803;-0.819209952;-0.075792471;1.199259413;1.906498858;-1.689071857;-2.476976588
21;6;7;06-Jul;0.070390093;1.090170262;-0.397273019;-0.540113803;-0.819209952;-0.075792471;0.610503897;1.909380214;-0.232097757;-1.049349458
22;1;8;01-Agust;2.091800638;-0.369033558;-0.724672836;-0.161146198;0.863830868;0.354654579;2.252946835;1.232864426;-0.941921747;0.324574619
23;2;8;02-Agust;-2.247369114;-0.718129042;-0.470703762;-0.161146198;0.863830868;0.354654579;2.086222917;1.58195991;0.379328555;1.558522333
24;3;8;03-Agust;0.775125013;-1.91514517;-0.522438467;-0.161146198;0.863830868;0.354654579;0.936271211;2.778976038;0.604151667;-0.016849029
25;4;8;04-Agust;0.214023706;-1.057478631;2.379981408;-0.161146198;0.863830868;0.354654579;0.375169904;1.921309499;0.127790054;2.276941195
26;5;8;05-Agust;-1.739373216;1.087288906;-0.958122243;-0.161146198;0.863830868;0.354654579;1.578227018;0.223458039;0.598822579;1.461852913
27;6;8;06-Agust;0.070390093;1.090170262;-0.397273019;-0.161146198;0.863830868;0.354654579;0.231536291;0.226339395;1.7546406;1.830388753
28;7;8;07-Agust;-0.540113803;-0.819209952;-0.075792471;-0.161146198;0.863830868;0.354654579;0.378967605;1.683040819;0.441428005;0.257737309
29;1;9;01-Sep;2.091800638;-0.369033558;-0.724672836;-0.623484138;0.184129947;0.308290831;2.715284776;0.553163506;-0.602646083;1.419674935
30;2;9;02-Sep;-2.247369114;-0.718129042;-0.470703762;-0.623484138;0.184129947;0.308290831;1.623884976;0.90225899;0.663776413;1.674118963
31;3;9;03-Sep;0.775125013;-1.91514517;-0.522438467;-0.623484138;0.184129947;0.308290831;1.398609152;2.099275118;0.754749472;0.889573429
32;4;9;04-Sep;0.214023706;-1.057478631;2.379981408;-0.623484138;0.184129947;0.308290831;0.837507844;1.241608578;0.927068679;3.832044472
33;5;9;05-Sep;-1.739373216;1.087288906;-0.958122243;-0.623484138;0.184129947;0.308290831;1.115889077;0.903158959;0.411594977;0.426073162
34;6;9;06-Sep;0.070390093;1.090170262;-0.397273019;-0.623484138;0.184129947;0.308290831;0.693874232;0.906040315;0.696795918;0.848667804
35;7;9;07-Sep;-0.540113803;-0.819209952;-0.075792471;-0.623484138;0.184129947;0.308290831;0.083370335;1.003339899;0.551758849;0.365957595
36;8;9;08-Sep;-0.161146198;0.863830868;0.354654579;-0.623484138;0.184129947;0.308290831;0.462337941;0.67970092;0.228500053;1.013932943
37;1;10;01-Okt;2.091800638;-0.369033558;-0.724672836;-0.024419217;1.45368834;-0.18220633;2.116219855;1.822721899;-1.785116173;-1.487136433
38;2;10;02-Okt;-2.247369114;-0.718129042;-0.470703762;-0.024419217;1.45368834;-0.18220633;2.222949897;2.171817383;0.248109221;0.732240335
39;3;10;03-Okt;0.775125013;-1.91514517;-0.522438467;-0.024419217;1.45368834;-0.18220633;0.79954423;3.368833511;-0.457409095;-2.046926417
40;4;10;04-Okt;0.214023706;-1.057478631;2.379981408;-0.024419217;1.45368834;-0.18220633;0.238442923;2.511166971;-0.242810528;0.937823987
41;5;10;05-Okt;-1.739373216;1.087288906;-0.958122243;-0.024419217;1.45368834;-0.18220633;1.714953998;0.366399434;1.403052668;1.794478376
42;6;10;06-Okt;0.070390093;1.090170262;-0.397273019;-0.024419217;1.45368834;-0.18220633;0.094809311;0.363518078;0.182844246;-0.483584832
43;7;10;07-Okt;-0.540113803;-0.819209952;-0.075792471;-0.024419217;1.45368834;-0.18220633;0.515694586;2.272898292;-0.642099751;-1.520853113
44;8;10;08-Okt;-0.161146198;0.863830868;0.354654579;-0.024419217;1.45368834;-0.18220633;0.136726981;0.589857473;1.421578502;1.435824994
45;9;10;09-Okt;-0.623484138;0.184129947;0.308290831;-0.024419217;1.45368834;-0.18220633;0.599064921;1.269558393;-0.702928308;-0.612558082
46;1;11;01-Nop;2.091800638;-0.369033558;-0.724672836;3.658512627;0.6788102;-0.111941599;1.566711989;1.047843758;0.389349287;0.595524962
47;2;11;02-Nop;-2.247369114;-0.718129042;-0.470703762;3.658512627;0.6788102;-0.111941599;5.905881741;1.396939242;1.886271173;6.511037932
48;3;11;03-Nop;0.775125013;-1.91514517;-0.522438467;3.658512627;0.6788102;-0.111941599;2.883387614;2.59395537;0.850723064;1.802752927
49;4;11;04-Nop;0.214023706;-1.057478631;2.379981408;3.658512627;0.6788102;-0.111941599;3.444488921;1.736288831;-0.615304757;4.229079557
50;5;11;05-Nop;-1.739373216;1.087288906;-0.958122243;3.658512627;0.6788102;-0.111941599;5.397885842;0.408478707;0.119002161;4.242584808
51;6;11;06-Nop;0.070390093;1.090170262;-0.397273019;3.658512627;0.6788102;-0.111941599;3.588122533;0.411360063;1.184704437;4.057932321
52;7;11;07-Nop;-0.540113803;-0.819209952;-0.075792471;3.658512627;0.6788102;-0.111941599;4.19862643;1.498020152;0.679690897;3.941573181
53;8;11;08-Nop;-0.161146198;0.863830868;0.354654579;3.658512627;0.6788102;-0.111941599;3.819658825;0.185020668;0.750675122;4.720536592
54;9;11;09-Nop;-0.623484138;0.184129947;0.308290831;3.658512627;0.6788102;-0.111941599;4.281996765;0.494680252;1.531823143;5.762829014
55;10;11;10-Nop;-0.024419217;1.45368834;-0.18220633;3.658512627;0.6788102;-0.111941599;3.682931844;0.774878141;-0.355207249;2.646137595
56;1;12;01-Des;2.091800638;-0.369033558;-0.724672836;-0.075735988;-0.017984334;-1.108058425;2.167536626;0.351049224;0.36478506;0.524065813
57;2;12;02-Des;-2.247369114;-0.718129042;-0.470703762;-0.075735988;-0.017984334;-1.108058425;2.171633126;0.700144708;-0.797458371;-0.554659786
58;3;12;03-Des;0.775125013;-1.91514517;-0.522438467;-0.075735988;-0.017984334;-1.108058425;0.850861001;1.897160836;-0.400663368;-2.128879677
59;4;12;04-Des;0.214023706;-1.057478631;2.379981408;-0.075735988;-0.017984334;-1.108058425;0.289759694;1.039494297;-1.349437649;-0.307502121
60;5;12;05-Des;-1.739373216;1.087288906;-0.958122243;-0.075735988;-0.017984334;-1.108058425;1.663637227;1.10527324;0.072885634;-0.882294428
61;6;12;06-Des;0.070390093;1.090170262;-0.397273019;-0.075735988;-0.017984334;-1.108058425;0.146126082;1.108154596;-1.196685114;-3.109967775
62;7;12;07-Des;-0.540113803;-0.819209952;-0.075792471;-0.075735988;-0.017984334;-1.108058425;0.464377815;0.801225618;0.604241705;-0.515844186
63;8;12;08-Des;-0.161146198;0.863830868;0.354654579;-0.075735988;-0.017984334;-1.108058425;0.08541021;0.881815202;-1.099162745;-2.208063983
64;9;12;09-Des;-0.623484138;0.184129947;0.308290831;-0.075735988;-0.017984334;-1.108058425;0.54774815;0.202114281;0.988059706;0.634983121
65;10;12;10-Des;-0.024419217;1.45368834;-0.18220633;-0.075735988;-0.017984334;-1.108058425;0.051316771;1.471672675;1.245740286;-0.729044036
66;11;12;11-Des;3.658512627;0.6788102;-0.111941599;-0.075735988;-0.017984334;-1.108058425;3.734248615;0.696794534;-2.413933964;-0.248082641
67;1;13;Jan-13;2.091800638;-0.369033558;-0.724672836;-0.227998007;-0.005801615;0.833011718;2.319798645;0.363231943;0.465955548;2.712477103
68;2;13;Feb-13;-2.247369114;-0.718129042;-0.470703762;-0.227998007;-0.005801615;0.833011718;2.019371107;0.712327427;0.371027997;2.396543347
69;3;13;Mar-13;0.775125013;-1.91514517;-0.522438467;-0.227998007;-0.005801615;0.833011718;1.00312302;1.909343555;0.797871388;1.156895882
70;4;13;Apr-13;0.214023706;-1.057478631;2.379981408;-0.227998007;-0.005801615;0.833011718;0.442021713;1.051677016;-0.987829679;2.141346652
71;5;13;Mei-13;-1.739373216;1.087288906;-0.958122243;-0.227998007;-0.005801615;0.833011718;1.511375209;1.093090522;1.319165986;2.158885408
72;6;13;Jun-13;0.070390093;1.090170262;-0.397273019;-0.227998007;-0.005801615;0.833011718;0.298388101;1.095971878;0.851733202;1.037874063
73;7;13;Jul-13;-0.540113803;-0.819209952;-0.075792471;-0.227998007;-0.005801615;0.833011718;0.312115796;0.813408337;-0.385735225;0.276895649
74;8;13;Agust-13;-0.161146198;0.863830868;0.354654579;-0.227998007;-0.005801615;0.833011718;0.066851809;0.869632483;-1.226499836;-0.406797971
75;9;13;Sep-13;-0.623484138;0.184129947;0.308290831;-0.227998007;-0.005801615;0.833011718;0.395486131;0.189931563;-0.117173879;1.32464902
76;10;13;Okt-13;-0.024419217;1.45368834;-0.18220633;-0.227998007;-0.005801615;0.833011718;0.20357879;1.459489956;0.067146655;0.191785855
77;11;13;Nop-13;3.658512627;0.6788102;-0.111941599;-0.227998007;-0.005801615;0.833011718;3.886510634;0.684611815;-1.172633244;3.092641601
78;12;13;Des-13;-0.075735988;-0.017984334;-1.108058425;-0.227998007;-0.005801615;0.833011718;0.152262019;0.012182719;-1.044590596;-1.173466644
79;1;14;Jan-14;2.091800638;-0.369033558;-0.724672836;0.149867723;1.477048827;1.220975501;1.941932915;1.846082385;0.280597411;1.795791798
80;2;14;Feb-14;-2.247369114;-0.718129042;-0.470703762;0.149867723;1.477048827;1.220975501;2.397236837;2.195177869;0.052845551;2.102765193
81;3;14;Mar-14;0.775125013;-1.91514517;-0.522438467;0.149867723;1.477048827;1.220975501;0.62525729;3.392193997;1.011504977;0.639202304
82;4;14;Apr-14;0.214023706;-1.057478631;2.379981408;0.149867723;1.477048827;1.220975501;0.064155983;2.534527458;0.352313162;2.750162326
83;5;14;Mei-14;-1.739373216;1.087288906;-0.958122243;0.149867723;1.477048827;1.220975501;1.889240939;0.38975992;0.712636894;2.66985113
84;6;14;Jun-14;0.070390093;1.090170262;-0.397273019;0.149867723;1.477048827;1.220975501;0.079477629;0.386878564;-2.905257215;-2.195516385
85;7;14;Jul-14;-0.540113803;-0.819209952;-0.075792471;0.149867723;1.477048827;1.220975501;0.689981526;2.296258779;1.066863825;1.753898992
86;8;14;Agust-14;-0.161146198;0.863830868;0.354654579;0.149867723;1.477048827;1.220975501;0.311013921;0.613217959;0.070512687;1.650547709
87;9;14;Sep-14;-0.623484138;0.184129947;0.308290831;0.149867723;1.477048827;1.220975501;0.773351861;1.292918879;-0.193873563;1.462285191
88;10;14;Okt-14;-0.024419217;1.45368834;-0.18220633;0.149867723;1.477048827;1.220975501;0.17428694;0.023360486;-0.822244289;0.37913158
89;11;14;Nop-14;3.658512627;0.6788102;-0.111941599;0.149867723;1.477048827;1.220975501;3.508644904;0.798238627;0.873422184;5.091981676
90;12;14;Des-14;-0.075735988;-0.017984334;-1.108058425;0.149867723;1.477048827;1.220975501;0.225603711;1.495033161;-0.097159903;-0.506155696
91;13;14;13-14;-0.227998007;-0.005801615;0.833011718;0.149867723;1.477048827;1.220975501;0.37786573;1.482850442;-0.408546831;1.281880897
92;1;15;Jan-15;2.091800638;-0.369033558;-0.724672836;-0.880008861;0.249075144;0.102372416;2.971809498;0.618108702;-0.495790504;1.544664223
93;2;15;Feb-15;-2.247369114;-0.718129042;-0.470703762;-0.880008861;0.249075144;0.102372416;1.367360254;0.967204186;-0.407802834;0.10762398
94;3;15;Mar-15;0.775125013;-1.91514517;-0.522438467;-0.880008861;0.249075144;0.102372416;1.655133874;2.164220314;-1.818355938;-1.665398272
95;4;15;Apr-15;0.214023706;-1.057478631;2.379981408;-0.880008861;0.249075144;0.102372416;1.094032567;1.306553775;-0.144953227;2.778156276
96;5;15;Mei-15;-1.739373216;1.087288906;-0.958122243;-0.880008861;0.249075144;0.102372416;0.859364355;0.838213762;-0.319265591;-0.734757945
97;6;15;Jun-15;0.070390093;1.090170262;-0.397273019;-0.880008861;0.249075144;0.102372416;0.950398954;0.841095118;-1.210919551;-0.975968759
98;7;15;Jul-15;-0.540113803;-0.819209952;-0.075792471;-0.880008861;0.249075144;0.102372416;0.339895058;1.068285096;0.582775062;0.415107516
99;8;15;Agust-15;-0.161146198;0.863830868;0.354654579;-0.880008861;0.249075144;0.102372416;0.718862663;0.614755724;0.226607695;1.09511949
100;9;15;Sep-15;-0.623484138;0.184129947;0.308290831;-0.880008861;0.249075144;0.102372416;0.256524722;0.064945197;-0.142995102;0.491720269
101;10;15;Okt-15;-0.024419217;1.45368834;-0.18220633;-0.880008861;0.249075144;0.102372416;0.855589644;1.204613196;-0.588433021;-0.41498389
102;11;15;Nop-15;3.658512627;0.6788102;-0.111941599;-0.880008861;0.249075144;0.102372416;4.538521488;0.429735056;2.619028057;6.933112833
103;12;15;Des-15;-0.075735988;-0.017984334;-1.108058425;-0.880008861;0.249075144;0.102372416;0.804272873;0.267059478;-1.563107209;-1.898050085
104;13;15;13-15;-0.227998007;-0.005801615;0.833011718;-0.880008861;0.249075144;0.102372416;0.652010854;0.254876759;-1.098399069;0.361557539
105;14;15;14-15;0.149867723;1.477048827;1.220975501;-0.880008861;0.249075144;0.102372416;1.029876584;1.227973683;-0.19217092;1.547066739
106;1;16;Jan-16;2.091800638;-0.369033558;-0.724672836;-0.318473975;1.820025958;0.098680172;2.410274613;2.189059517;-0.217988211;0.47176398
107;2;16;Feb-16;-2.247369114;-0.718129042;-0.470703762;-0.318473975;1.820025958;0.098680172;1.928895139;2.538155001;0.226414736;0.514208785
108;3;16;Mar-16;0.775125013;-1.91514517;-0.522438467;-0.318473975;1.820025958;0.098680172;1.093598988;3.735171128;-0.238612468;-1.436357339
109;4;16;Apr-16;0.214023706;-1.057478631;2.379981408;-0.318473975;1.820025958;0.098680172;0.532497681;2.877504589;0.166362232;1.738769199
110;5;16;Mei-16;-1.739373216;1.087288906;-0.958122243;-0.318473975;1.820025958;0.098680172;1.42089924;0.732737052;0.998140928;1.193229571
111;6;16;Jun-16;0.070390093;1.090170262;-0.397273019;-0.318473975;1.820025958;0.098680172;0.388864069;0.729855696;0.003395668;-0.271260958
112;7;16;Jul-16;-0.540113803;-0.819209952;-0.075792471;-0.318473975;1.820025958;0.098680172;0.221639828;2.63923591;0.281869185;-0.793221241
113;8;16;Agust-16;-0.161146198;0.863830868;0.354654579;-0.318473975;1.820025958;0.098680172;0.157327777;0.956195091;-0.368646903;-0.23608192
114;9;16;Sep-16;-0.623484138;0.184129947;0.308290831;-0.318473975;1.820025958;0.098680172;0.305010163;1.635896011;-0.047913266;-0.153880105
115;10;16;Okt-16;-0.024419217;1.45368834;-0.18220633;-0.318473975;1.820025958;0.098680172;0.294054758;0.366337618;-1.280778798;-1.253419007
116;11;16;Nop-16;3.658512627;0.6788102;-0.111941599;-0.318473975;1.820025958;0.098680172;3.976986602;1.141215759;0.541739781;3.934857076
117;12;16;Des-16;-0.075735988;-0.017984334;-1.108058425;-0.318473975;1.820025958;0.098680172;0.242737987;1.838010292;0.173662602;-1.51198281
118;13;16;13-16;-0.227998007;-0.005801615;0.833011718;-0.318473975;1.820025958;0.098680172;0.090475968;1.825827574;-0.284481798;-0.175227726
119;14;16;14-16;0.149867723;1.477048827;1.220975501;-0.318473975;1.820025958;0.098680172;0.468341698;0.342977132;0.471431681;2.087940487
120;15;16;15-16;-0.880008861;0.249075144;0.102372416;-0.318473975;1.820025958;0.098680172;0.561534886;1.570950814;0.929917549;0.907029615
121;1;17;Jan-17;2.091800638;-0.369033558;-0.724672836;-2.922321676;0.124252496;1.664890884;5.014122313;0.493286055;0.252496718;5.960194053
122;2;17;Feb-17;-2.247369114;-0.718129042;-0.470703762;-2.922321676;0.124252496;1.664890884;0.674952561;0.842381539;-1.458844209;-0.010895295
123;3;17;Mar-17;0.775125013;-1.91514517;-0.522438467;-2.922321676;0.124252496;1.664890884;3.697446689;2.039397667;-1.138559163;2.68164111
124;4;17;Apr-17;0.214023706;-1.057478631;2.379981408;-2.922321676;0.124252496;1.664890884;3.136345382;1.181731127;-0.467394906;6.122957204
125;5;17;Mei-17;-1.739373216;1.087288906;-0.958122243;-2.922321676;0.124252496;1.664890884;1.18294846;0.96303641;-0.214376739;1.193822157
126;6;17;Jun-17;0.070390093;1.090170262;-0.397273019;-2.922321676;0.124252496;1.664890884;2.992711769;0.965917766;-0.265196604;3.512174146
127;7;17;Jul-17;-0.540113803;-0.819209952;-0.075792471;-2.922321676;0.124252496;1.664890884;2.382207873;0.943462448;-0.096758848;3.402816213
128;8;17;Agust-17;-0.161146198;0.863830868;0.354654579;-2.922321676;0.124252496;1.664890884;2.761175478;0.739578371;-0.510230903;3.900700852
129;9;17;Sep-17;-0.623484138;0.184129947;0.308290831;-2.922321676;0.124252496;1.664890884;2.298837537;0.059877451;-0.189244174;4.052836352
130;10;17;Okt-17;-0.024419217;1.45368834;-0.18220633;-2.922321676;0.124252496;1.664890884;2.897902458;1.329435844;-1.381778882;2.334090208
131;11;17;Nop-17;3.658512627;0.6788102;-0.111941599;-2.922321676;0.124252496;1.664890884;6.580834303;0.554557703;1.300122216;9.156626952
132;12;17;Des-17;-0.075735988;-0.017984334;-1.108058425;-2.922321676;0.124252496;1.664890884;2.846585687;0.14223683;-1.280460279;2.051839452
133;13;17;13-17;-0.227998007;-0.005801615;0.833011718;-2.922321676;0.124252496;1.664890884;2.694323669;0.130054112;1.016866928;6.144066142
134;14;17;14-17;0.149867723;1.477048827;1.220975501;-2.922321676;0.124252496;1.664890884;3.072189399;1.35279633;-0.104775005;5.176882614
135;15;17;15-17;-0.880008861;0.249075144;0.102372416;-2.922321676;0.124252496;1.664890884;2.042312815;0.124822648;-0.193095764;3.554069027
136;16;17;16-17;-0.318473975;1.820025958;0.098680172;-2.922321676;0.124252496;1.664890884;2.6038477;1.695773462;-0.114641377;3.404890649
137;1;18;Jan-18;2.091800638;-0.369033558;-0.724672836;0.938745673;2.155060697;0.56218485;1.153054964;2.524094255;-0.808981139;-1.080461289
138;2;18;Feb-18;-2.247369114;-0.718129042;-0.470703762;0.938745673;2.155060697;0.56218485;3.186114788;2.873189739;0.711926596;2.552927601
139;3;18;Mar-18;0.775125013;-1.91514517;-0.522438467;0.938745673;2.155060697;0.56218485;0.16362066;4.070205867;-2.35449634;-4.186232231
140;4;18;Apr-18;0.214023706;-1.057478631;2.379981408;0.938745673;2.155060697;0.56218485;0.724721967;3.212539328;-0.794320093;1.266298468
141;5;18;Mei-18;-1.739373216;1.087288906;-0.958122243;0.938745673;2.155060697;0.56218485;2.678118889;1.067771791;-1.937080848;-0.188785249
142;6;18;Jun-18;0.070390093;1.090170262;-0.397273019;0.938745673;2.155060697;0.56218485;0.86835558;1.064890435;-1.55717867;-1.056356477
143;7;18;Jul-18;-0.540113803;-0.819209952;-0.075792471;0.938745673;2.155060697;0.56218485;1.478859476;2.974270649;-1.454211298;-0.976094768
144;8;18;Agust-18;-0.161146198;0.863830868;0.354654579;0.938745673;2.155060697;0.56218485;1.099891871;1.29122983;0.227585353;1.598701738
145;9;18;Sep-18;-0.623484138;0.184129947;0.308290831;0.938745673;2.155060697;0.56218485;1.562229812;1.97093075;-1.691784933;-0.244544816
146;10;18;Okt-18;-0.024419217;1.45368834;-0.18220633;0.938745673;2.155060697;0.56218485;0.963164891;0.701372357;0.749310283;1.741767515
147;11;18;Nop-18;3.658512627;0.6788102;-0.111941599;0.938745673;2.155060697;0.56218485;2.719766954;1.476250498;-0.539044974;1.892839981
148;12;18;Des-18;-0.075735988;-0.017984334;-1.108058425;0.938745673;2.155060697;0.56218485;1.014481662;2.173045031;0.672650842;0.054736412
149;13;18;13-18;-0.227998007;-0.005801615;0.833011718;0.938745673;2.155060697;0.56218485;1.16674368;2.160862312;1.378733221;2.860242313
150;14;18;14-18;0.149867723;1.477048827;1.220975501;0.938745673;2.155060697;0.56218485;0.78887795;0.67801187;-0.622372916;1.61065945
151;15;18;15-18;-0.880008861;0.249075144;0.102372416;0.938745673;2.155060697;0.56218485;1.818754534;1.905985553;-0.643022196;0.887296827
152;16;18;16-18;-0.318473975;1.820025958;0.098680172;0.938745673;2.155060697;0.56218485;1.257219649;0.335034739;1.554916346;3.305483647
153;17;18;17-18;-2.922321676;0.124252496;1.664890884;0.938745673;2.155060697;0.56218485;3.861067349;2.030808201;0.356475241;5.429214223
154;1;19;Jan-19;2.091800638;-0.369033558;-0.724672836;-0.202829842;-0.901250363;0.413029059;2.294630479;0.532216805;0.455658164;2.172536464
155;2;19;Feb-19;-2.247369114;-0.718129042;-0.470703762;-0.202829842;-0.901250363;0.413029059;2.044539273;0.183121321;0.590532269;2.485836177
156;3;19;Mar-19;0.775125013;-1.91514517;-0.522438467;-0.202829842;-0.901250363;0.413029059;0.977954855;1.013894807;0.722467702;1.084065746
157;4;19;Apr-19;0.214023706;-1.057478631;2.379981408;-0.202829842;-0.901250363;0.413029059;0.416853548;0.156228268;1.61755589;4.749305771
158;5;19;Mei-19;-1.739373216;1.087288906;-0.958122243;-0.202829842;-0.901250363;0.413029059;1.536543374;1.98853927;-2.003742581;-2.006562027
159;6;19;Jun-19;0.070390093;1.090170262;-0.397273019;-0.202829842;-0.901250363;0.413029059;0.273219935;1.991420626;0.06731801;-0.639416329
160;7;19;Jul-19;-0.540113803;-0.819209952;-0.075792471;-0.202829842;-0.901250363;0.413029059;0.337283961;0.082040411;1.35142743;1.984927773
161;8;19;Agust-19;-0.161146198;0.863830868;0.354654579;-0.202829842;-0.901250363;0.413029059;0.041683644;1.765081231;0.051397107;-0.021776227
162;9;19;Sep-19;-0.623484138;0.184129947;0.308290831;-0.202829842;-0.901250363;0.413029059;0.420654297;1.085380311;0.527291109;1.12657514
163;10;19;Okt-19;-0.024419217;1.45368834;-0.18220633;-0.202829842;-0.901250363;0.413029059;0.178410625;2.354938704;-1.290459658;-2.058695656
164;11;19;Nop-19;3.658512627;0.6788102;-0.111941599;-0.202829842;-0.901250363;0.413029059;3.861342469;1.580060563;0.566074188;3.938473835
165;12;19;Des-19;-0.075735988;-0.017984334;-1.108058425;-0.202829842;-0.901250363;0.413029059;0.127093854;0.883266029;-2.295804945;-3.305373472
166;13;19;13-19;-0.227998007;-0.005801615;0.833011718;-0.202829842;-0.901250363;0.413029059;0.025168165;0.895448748;0.947464479;1.770949048
167;14;19;14-19;0.149867723;1.477048827;1.220975501;-0.202829842;-0.901250363;0.413029059;0.352697565;2.37829919;0.365483885;1.163036415
168;15;19;15-19;-0.880008861;0.249075144;0.102372416;-0.202829842;-0.901250363;0.413029059;0.677179019;1.150325507;-0.89658988;-0.27917214
169;16;19;16-19;-0.318473975;1.820025958;0.098680172;-0.202829842;-0.901250363;0.413029059;0.115644133;2.721276322;0.82100239;0.087717594
170;17;19;17-19;-2.922321676;0.124252496;1.664890884;-0.202829842;-0.901250363;0.413029059;2.719491834;1.02550286;-0.329307631;3.955352716
171;18;19;18-19;0.938745673;2.155060697;0.56218485;-0.202829842;-0.901250363;0.413029059;1.141575515;3.05631106;-1.478366762;-0.889732869
172;1;20;Jan-20;2.091800638;-0.369033558;-0.724672836;0.62103405;-0.732623516;0.574854332;1.470766588;0.363589958;0.248032655;1.38718576
173;2;20;Feb-20;-2.247369114;-0.718129042;-0.470703762;0.62103405;-0.732623516;0.574854332;2.868403164;0.014494474;0.786894888;3.752201385
174;3;20;Mar-20;0.775125013;-1.91514517;-0.522438467;0.62103405;-0.732623516;0.574854332;0.154090963;1.182521654;-0.989833875;-1.374587873
175;4;20;Apr-20;0.214023706;-1.057478631;2.379981408;0.62103405;-0.732623516;0.574854332;0.407010344;0.324855115;0.892535815;4.091954341
176;5;20;Mei-20;-1.739373216;1.087288906;-0.958122243;0.62103405;-0.732623516;0.574854332;2.360407265;1.819912423;0.301452096;1.368635239
177;6;20;Jun-20;0.070390093;1.090170262;-0.397273019;0.62103405;-0.732623516;0.574854332;0.550643956;1.822793779;-0.180094146;-0.363265766
178;7;20;Jul-20;-0.540113803;-0.819209952;-0.075792471;0.62103405;-0.732623516;0.574854332;1.161147853;0.086586436;-0.034556034;1.582360462
179;8;20;Agust-20;-0.161146198;0.863830868;0.354654579;0.62103405;-0.732623516;0.574854332;0.782180248;1.596454384;-0.183803204;0.729658763
180;9;20;Sep-20;-0.623484138;0.184129947;0.308290831;0.62103405;-0.732623516;0.574854332;1.244518188;0.916753464;-1.412973556;0.256313063
181;10;20;Okt-20;-0.024419217;1.45368834;-0.18220633;0.62103405;-0.732623516;0.574854332;0.645453267;2.186311857;-0.350794971;-0.40584963
182;11;20;Nop-20;3.658512627;0.6788102;-0.111941599;0.62103405;-0.732623516;0.574854332;3.037478577;1.411433716;-0.744309898;2.050364554
183;12;20;Des-20;-0.075735988;-0.017984334;-1.108058425;0.62103405;-0.732623516;0.574854332;0.696770038;0.714639182;-0.019077001;-0.212830648
